created_at,text,Polarity,Subjectivity
Tue Apr 19 01:32:04 +0000 2016,RT @CindiPargressiv: San Francisco's Harvey Milk LGBT Democratic Club Has Endorsed Bernie Sanders For President! https://t.co/7u0lLlm2Kb,0.286983,0
Tue Apr 19 01:32:04 +0000 2016,"RT @PigeonToday: Mr. Bernie Sanders, would you stand in the breadline with the rest of us? https://t.co/FqNDlUnND4",0.484454,0
Tue Apr 19 01:32:05 +0000 2016,RT @shailenewoodley: Bernie Sanders wins Colorado with big showing at state convention https://t.co/WgKOG8WrkM,0.15,0.15000000000000002
Tue Apr 19 01:32:06 +0000 2016,"RT @Izac_Wright: Interesting column: ""There Is No Bernie Sanders Movement""

https://t.co/lkPCZfw766",0.5,0.5
Tue Apr 19 01:32:07 +0000 2016,Blog: How rich is Bernie Sanders? https://t.co/eOdjgaGdFg,0.375,0.75
Tue Apr 19 01:32:07 +0000 2016,Mother of mass shooting victim says Bernie Sanders lacks 'compassion' https://t.co/8bBYeu4jJc via @TheWeek,-0.07500000000000001,0.05
Tue Apr 19 01:32:08 +0000 2016,"$200,000 - Bernie Sanders ( REACTION VIDEO ): https://t.co/DdFs831Jqh via @YouTube",0.708837,0
Tue Apr 19 01:32:08 +0000 2016,DemocraticParty mustReject CorruptCampaignFinanceSystemJob-killing #TPP dysfunctionalCriminalJusticeSystemWallStreet https://t.co/afAx6niNun,-0.129174,0
Tue Apr 19 01:32:10 +0000 2016,The absolute cringiest thing is watching your ex girlfriend vehemently defend Bernie Sanders/Black Lives Matter,0.2,0.9
Tue Apr 19 01:32:11 +0000 2016,Bernie Sanders Crossed the Rubicon https://t.co/FIT7kChXtT,-0.41515,0
Tue Apr 19 01:32:12 +0000 2016,RT @RoseAnnDeMoro: Don't the Words Bernie Sanders &amp; President look so right together?  #FeelTheBern https://t.co/vy9hnAOmPq,0.2857142857142857,0.5357142857142857
