created_at,text,Polarity,Subjectivity
Thu Apr 21 16:49:15 +0000 2016,RT @minxiexcx: you know it's not a difficult concept when even Donald Trump understands it https://t.co/MHa5z3YHPt,0.25,1.0
Thu Apr 21 16:49:16 +0000 2016,"""Donald Trump Says Transgender People Should Use the Bathroom They Want"" by ASHLEY PARKER https://t.co/6OdBYLefpV",[],0.0
Thu Apr 21 16:49:17 +0000 2016,"RT @nasiripour: ""Jack Mehoff, 19, praised Trump as a 'hardworking, smart individual...'"" https://t.co/WYQwFvvmJQ",0.10714285714285714,0.5214285714285715
Thu Apr 21 16:49:20 +0000 2016,That's a infowars video. https://t.co/WlWOd2ax37,[],0.0
Thu Apr 21 16:49:21 +0000 2016,RT @HipHopxHotspot: Tupac speaking on Donald Trump in 1992 https://t.co/I0ri4TOGfJ,[],0.0
Thu Apr 21 16:49:22 +0000 2016,"RT @rootingforyou: David Bowie died at 69.
Alan Rickman died at 69.
Donald Trump is 69. https://t.co/SDdW4PtGSE",[],0.0
Thu Apr 21 16:49:22 +0000 2016,"RT @silentrunning12: https://t.co/qUUpSfaHor

Shock: Trump picking up female supporters while Hill loses them..",-0.15,0.13333333333333333
Thu Apr 21 16:49:23 +0000 2016,RT @mRpOrTeR7: #SaveTheEarthIn4Words  don't elect Donald Trump,0.8,0.9
Thu Apr 21 16:49:23 +0000 2016,Tupac Talks Donald Trump &amp; Greed in America in 1992 Interview | MTV News https://t.co/2DR0487cVl,[],0.0
Thu Apr 21 16:49:24 +0000 2016,RT @rimelnikova8757: #Alaska Donald Trump Says Transgender People Should Use the Bathroom ... https://t.co/41HeSzZa6B,[],0.0
Thu Apr 21 16:49:25 +0000 2016,"@LVNancy @c5hardtop1999 @THETXEMBASSY @DrSueDVM George Soros  Donald Trump - page 1 - Politics - The Briefing Room
https://t.co/GdlVN1Dykp",[],0.0
Thu Apr 21 16:49:27 +0000 2016,RT @headcarsdun: he's trying to get lgbtq+ votes. DONT DO IT he's still a horrible person  https://t.co/NinhV0zw6H,-1.0,1.0
Thu Apr 21 16:49:27 +0000 2016,RT @AllKnowA: We all know a dumbass named Donald Trump,0.0,0.0
