created_at,text,Polarity,Subjectivity
Wed Apr 20 16:59:09 +0000 2016,"No, votes were not changing from Sanders to Clinton on electronic voting machines in NY https://t.co/JdeMvDJK2Z",-0.345408,0.0
Wed Apr 20 16:59:10 +0000 2016,"RT @CNNPolitics: Pennsylvania Gov. Tom Wolf says Hillary Clinton ""will be the nominee"" https://t.co/kAMQRe5IeP https://t.co/Y9nEhjC0eJ",0.17647,0.0
Wed Apr 20 16:59:13 +0000 2016,RT @TheYoungTurks: Hillary Clinton Needs To EARN Your Vote. Jimmy Dore Rant: https://t.co/PYDFWhsCCZ via @YouTube,-0.765067,0.0
Wed Apr 20 16:59:14 +0000 2016,RT @billboard: Katy Perry celebrates Hillary Clinton's NY primary win https://t.co/mFHXEeubT2 https://t.co/kdIiTi0Nn5,0.6000000000000001,0.45
Wed Apr 20 16:59:15 +0000 2016,good job I don't care what anyone thinks as long you do the job you can do it. https://t.co/AUEaLr0zw6,0.32499999999999996,0.5
Wed Apr 20 16:59:18 +0000 2016,"Hillary Clinton, Donald Trump and gender insecurity in American politics https://t.co/vnBPRyK0XC https://t.co/tyegjGukkh",0.174728,0.0
Wed Apr 20 16:59:21 +0000 2016,RT @voguemagazine: Hillary Clinton and Donald Trump won huge victories in New York: https://t.co/L3s9AJlTnB,0.2681818181818182,0.6772727272727272
Wed Apr 20 16:59:22 +0000 2016,RT @lexi4prez: I hate Hillary Clinton and I hate Donald Trump.,-0.8,0.9
Wed Apr 20 16:59:23 +0000 2016,How Hillary Clinton dominated Bernie Sanders in New York https://t.co/wnlKdeUNN6 #Business https://t.co/ah3r2CoBzX,0.13636363636363635,0.45454545454545453
Wed Apr 20 16:59:25 +0000 2016,Hillary Trump. Donald Clinton. Which sounds better? #NeverTrump #NeverClinton #AlwaysCruz,0.5,0.5
Wed Apr 20 16:59:26 +0000 2016,Hillary Clinton's style is                   i c o n i c,0.0,0.0
Wed Apr 20 16:59:27 +0000 2016,I rebuke this smh https://t.co/eRiQOZqw3g,0.484454,0.0
Wed Apr 20 16:59:28 +0000 2016,"RT @nytpolitics: A homecoming, and a triumph, for Hillary Clinton in New York https://t.co/Au1psMKmrj by @amychozick https://t.co/GXbe1ToYuI",0.13636363636363635,0.45454545454545453
Wed Apr 20 16:59:31 +0000 2016,"As usual, Hillary Clinton Campaign Bundler Is Directly Lobbying For Saudi Arabia but we knew she was crooked already. #cnn #nbc #msnbc #abc",-0.049999999999999996,0.25
Wed Apr 20 16:59:31 +0000 2016,The Case for Writing-In Bernie Sanders If Hillary Clinton Is the Democratic Nominee https://t.co/JuexEaCF8T via @HuffPostPol,-0.356568,0.0
Wed Apr 20 16:59:37 +0000 2016,RT @billboard: Katy Perry celebrates Hillary Clinton's NY primary win https://t.co/mFHXEeubT2 https://t.co/kdIiTi0Nn5,0.6000000000000001,0.45
Wed Apr 20 16:59:39 +0000 2016,RT @billboard: Katy Perry celebrates Hillary Clinton's NY primary win https://t.co/mFHXEeubT2 https://t.co/kdIiTi0Nn5,0.6000000000000001,0.45
Wed Apr 20 16:59:41 +0000 2016,RT @MattiasMarx: Hundreds of thousands were denied a voice in the #NYPrimary. This is another illegitimate win for Hillary Clinton.,0.8,0.4
Wed Apr 20 16:59:41 +0000 2016,"https://t.co/qSnfFAIJsL
16 $hillary scandals: where there is smoke there is fire!",-0.553616,0.0
Wed Apr 20 16:59:43 +0000 2016,RT @Lnonblonde: Hillary Clinton Is The Only Candidate To Receive 10 Million Votes!#ImWithHer https://t.co/28l7LJTF5s,0.484454,1.0
Wed Apr 20 16:59:44 +0000 2016,my teacher is talkin shit on Hillary Clinton I THOUGHT THIS DAY WOULD NEVER COME!!!!!,-0.6103515625,0.8
Wed Apr 20 16:59:50 +0000 2016,RT @temidayoooo: Hillary Clinton looks like a guidance counselor who will never change your schedule.,0.0,0.0
Wed Apr 20 16:59:51 +0000 2016,Hillary Clinton needs a camera implanted inside Bill Clinton's nasty penis or another MONICA LEWINSKY WILL happen,-1.0,1.0
Wed Apr 20 16:59:52 +0000 2016,"#ElectionFraud #NYPrimary #VoterSuppression This is bullshit. Thanks, W, for leading the way to ending democracy https://t.co/Mkc07TcwBp",0.2,0.2
Wed Apr 20 16:59:54 +0000 2016,"Bernie Sanders and Wife Accused of Redirecting Campaign Money to Family, Friends https://t.co/iphiLKhR61 #NYPrimary Hillary Clinton democrat",-0.0477252,0.0
Wed Apr 20 16:59:54 +0000 2016,RT @shadyemoji: Hillary Clinton looks like a guidance counselor who will never change your schedule.,0.0,0.0
Wed Apr 20 16:59:55 +0000 2016,RT @TheYoungTurks: Hillary Clinton Needs To EARN Your Vote. Jimmy Dore Rant: https://t.co/PYDFWhsCCZ via @YouTube,-0.765067,0.0
Wed Apr 20 16:59:55 +0000 2016,RT @temidayoooo: Hillary Clinton looks like a guidance counselor who will never change your schedule.,0.0,0.0
Wed Apr 20 16:59:57 +0000 2016,"RT @nytimes: A homecoming, and a triumph, for Hillary Clinton in New York https://t.co/dQgcuUMl5a https://t.co/qHlgXOnGGg",0.13636363636363635,0.45454545454545453
Wed Apr 20 16:59:57 +0000 2016,RT @HumbleSportsGuy: No thanks https://t.co/IsAvce9e3u,-0.1,0.2
Wed Apr 20 16:59:59 +0000 2016,"His opinion means a lot, NOT, https://t.co/hUGvWNDcCM",0.484454,0.0
Wed Apr 20 17:00:00 +0000 2016,RT @xebec78: She's an idiot and she should be in jail. https://t.co/m01zEfeDwL,-0.45,0.4
Wed Apr 20 17:00:01 +0000 2016,Hillary Clinton campaign spreading propaganda the Democrat primary race is almost over.,0.15000000000000002,0.3
Wed Apr 20 17:00:02 +0000 2016,"RT @guff232: @NomikiKonst Hillary Clinton won New York, but her image is underwater https://t.co/VDKQnW7TEw",0.13636363636363635,0.45454545454545453
Wed Apr 20 17:00:04 +0000 2016,"RT @CNNPolitics: Pennsylvania Gov. Tom Wolf says Hillary Clinton ""will be the nominee"" https://t.co/kAMQRe5IeP https://t.co/Y9nEhjC0eJ",0.17647,0.0
Wed Apr 20 17:00:04 +0000 2016,"Hillary Clinton Discusses Presidential Plans, Loving Hot Sauce, Her Lack Of Rhythm https://t.co/lPJx7C5D2y",0.425,0.9
Wed Apr 20 17:00:04 +0000 2016,"In New York, Hillary Clinton and Donald Trump proved they are front-runners for good reason. https://t.co/lPTie0LrcI https://t.co/t2MDO34yzb",0.41818181818181815,0.5272727272727273
Wed Apr 20 17:00:05 +0000 2016,RT @Lnonblonde: Hillary Clinton Is The Only Candidate To Receive 10 Million Votes!#ImWithHer https://t.co/28l7LJTF5s,0.484454,1.0
Wed Apr 20 17:00:06 +0000 2016,RT @MichaelSkolnik: Hillary Clinton received more than double the amount of votes Donald Trump received in the New York Primary today.,0.2590909090909091,0.36363636363636365
Wed Apr 20 17:00:08 +0000 2016,Hillary Clinton making campaign stop in Pittsburgh Friday https://t.co/bmvOMNOYVQ #Politics,0.0568074,0.0
Wed Apr 20 17:00:09 +0000 2016,why the fuck are people voting for Hillary Clinton ?!!!!!??,-1.0,0.6
Wed Apr 20 17:00:11 +0000 2016,RT @8rend: #NewYorkprimary results: Hillary Clinton triumphs over Bernie... https://t.co/AKRgwPi8uo https://t.co/x0f5sv6wxC,0.221582,0.0
Wed Apr 20 17:00:11 +0000 2016,Hillary will be getting sworn in on 1/20/17 and you'll still be waiting lol  https://t.co/7xjv0WkDdr,0.8,0.7
Wed Apr 20 17:00:12 +0000 2016,RT @voguemagazine: Hillary Clinton and Donald Trump won huge victories in New York: https://t.co/L3s9AJlTnB,0.2681818181818182,0.6772727272727272
Wed Apr 20 17:00:12 +0000 2016,RT @8rend: #NewYorkprimary results: Hillary Clinton triumphs over Bernie... https://t.co/AKRgwPi8uo https://t.co/x0f5sv6wxC,0.221582,0.0
Wed Apr 20 17:00:14 +0000 2016,One more reason to hate Hillary Clinton... https://t.co/0J9vzqUOHV,-0.15000000000000002,0.7
Wed Apr 20 17:00:14 +0000 2016,RT @8rend: #NewYorkprimary results: Hillary Clinton triumphs over Bernie... https://t.co/AKRgwPi8uo https://t.co/x0f5sv6wxC,0.221582,0.0
Wed Apr 20 17:00:15 +0000 2016,RT @D0NNATROY: if donald trump or hillary clinton win pls feel free to move to canada and live with me @ everyone it will be fun,0.4090909090909091,0.47500000000000003
Wed Apr 20 17:00:18 +0000 2016,New York judge sides with Hillary Clinton against Bernie Sanders on voter registration rules https://t.co/7H43iypfk6 via @dailynewsbin,0.13636363636363635,0.45454545454545453
Wed Apr 20 17:00:19 +0000 2016,RT @TheYoungTurks: I liked a @YouTube video https://t.co/XzXJVSVRSI Hillary Clinton Supporters Don't Care About Her TERRIBLE Record,-0.2,0.9
Wed Apr 20 17:00:19 +0000 2016,"Bernie Sanders supporters feel Hillary Clinton is a Republican ,I don't see them unifying with #ImWithHer and Hillary Clinton #NYPrimary",0.0,0.0
Wed Apr 20 17:00:19 +0000 2016,Students get to vote on the best dish at2016; Some deserving chef will take home one o https://t.co/qDfNBDwJWn https://t.co/PqaE5H1b3p,0.8,0.55
Wed Apr 20 17:00:21 +0000 2016,"@corbydavidson @SturgillSimpson Hey queerby, are you going to vote for Hillary Rodham Clinton???",0.0,0.0
Wed Apr 20 17:00:21 +0000 2016,RT @chocolatebodied: Hillary Clinton is the female version of Donald Trump.,0.0,0.16666666666666666
Wed Apr 20 17:00:22 +0000 2016,The Case for Writing-In Bernie Sanders If Hillary Clinton Is the Democratic Nomineevia https://t.co/HlckbmJvFv https://t.co/U3p8ipr4UU,0.174728,0.0
Wed Apr 20 17:00:24 +0000 2016,RT @billboard: Katy Perry celebrates Hillary Clinton's NY primary win https://t.co/mFHXEeubT2 https://t.co/kdIiTi0Nn5,0.6000000000000001,0.45
Wed Apr 20 17:00:24 +0000 2016,"Via @NPR: How Hillary Clinton Might Actually Win In N.H., Even Though She Lost Big https://t.co/O1SWPmk6XJ Figured HRC 2B Cruzing 4 DELS-SOS",0.4,0.25
Wed Apr 20 17:00:26 +0000 2016,Fuck Hillary's #PyrrhicVictory https://t.co/PJhznKEW1J,-0.4,0.6
Wed Apr 20 17:00:27 +0000 2016,Sheriff Clarke on Hillary Clinton's 'Hot Sauce' Remarks: 'I'm Surprised She Didn't Say Watermelon' - Breitbart https://t.co/WtjYlOazTx,0.175,0.875
Wed Apr 20 17:00:27 +0000 2016,Sheriff Clarke on Hillary Clinton's 'Hot Sauce' Remarks: 'I'm Surprised She Didn't Say Watermelon' - Breitbart https://t.co/M6l9cgj6WI,0.175,0.875
Wed Apr 20 17:00:28 +0000 2016,WOW Hillary Clinton Reels In The Black Vote With 'Hot Sauce' https://t.co/eia9I8q0qx,0.061111111111111116,0.7611111111111111
Wed Apr 20 17:00:28 +0000 2016,Where do Hillary Clinton + Bernie Sanders now stand? Here is a table with the latest vote totals https://t.co/FhpsAgru4N #Election2016,0.5,0.9
Wed Apr 20 17:00:29 +0000 2016,"RT @MrDane1982: Hillary Clinton voting block is massive and diverse! #NYPrimary 
Black voters: 75/25
Latinos: 64/36
Women: 63/37",-0.08333333333333333,0.7166666666666667
Wed Apr 20 17:00:30 +0000 2016,"Hillary Clinton's 404 page is pretty pretty pretty good 
https://t.co/awqB7DXjIg",0.3625,0.9
Wed Apr 20 17:00:30 +0000 2016,Hillary Clinton 'H' Outline Large White Custom Decal #democrat  #obama #tcot #BLM https://t.co/piU4CSSEE8,0.10714285714285714,0.21428571428571427
Wed Apr 20 17:00:30 +0000 2016,#NYPrimary Hillary Clinton #ImWithHer GIANT 8ft BANNER SIGN  #p2 #BlackLivesMatter https://t.co/oHq1CkZMQj,0.501215,1.0
Wed Apr 20 17:00:32 +0000 2016,RT @temidayoooo: Hillary Clinton looks like a guidance counselor who will never change your schedule.,0.0,0.0
Wed Apr 20 17:00:33 +0000 2016,Anonymous - Hillary Clinton: A Career Criminal https://t.co/DViueWaf0d via @YouTube,-0.4,0.55
Wed Apr 20 17:00:33 +0000 2016,Wonder how much she paid her  https://t.co/siv8OQ9Q1U,0.2,0.2
Wed Apr 20 17:00:34 +0000 2016,"#TedCruz is a loser... Won't never happen...
#VoteForHillary #PAprimary #CTPrimary #DEPrimary #RIPrimary #MDPrimary https://t.co/wAMdISQYt0",0.484454,0.0
Wed Apr 20 17:00:35 +0000 2016,Katy Perry Celebrates Hillary Clinton's NY Primary Win - Billboard https://t.co/fnbuH7zha0,0.6000000000000001,0.45
Wed Apr 20 17:00:36 +0000 2016,RT @Raww_Royalty: Nobody like her but somehow she keep winning shit https://t.co/zdPIsCZVZb,0.15,0.775
Wed Apr 20 17:00:38 +0000 2016,"RT @nytimes: A homecoming, and a triumph, for Hillary Clinton in New York https://t.co/dQgcuUMl5a https://t.co/qHlgXOnGGg",0.13636363636363635,0.45454545454545453
Wed Apr 20 17:00:39 +0000 2016,".@HillaryClinton enlists help of @GabbyGiffords for Conn. primary
https://t.co/yEp7KMit8U",0.4,0.5
Wed Apr 20 17:00:41 +0000 2016,RT @temidayoooo: Hillary Clinton looks like a guidance counselor who will never change your schedule.,0.0,0.0
Wed Apr 20 17:00:43 +0000 2016,Donald was right about something; he is a liar but fortunately everyone knows it https://t.co/L4vT6rLYmm,0.34285714285714286,0.6178571428571429
Wed Apr 20 17:00:43 +0000 2016,RT @Raww_Royalty: Nobody like her but somehow she keep winning shit https://t.co/zdPIsCZVZb,0.15,0.775
Wed Apr 20 17:00:43 +0000 2016,RT @MikeDrucker: I kinda wish Hillary Clinton and Bernie Sanders were cops who learned to be partners by the end of the movie.,0.0,0.0
Wed Apr 20 17:00:43 +0000 2016,"RT @nytimes: A homecoming, and a triumph, for Hillary Clinton in New York https://t.co/dQgcuUMl5a https://t.co/qHlgXOnGGg",0.13636363636363635,0.45454545454545453
Wed Apr 20 17:00:46 +0000 2016,@Gov4Sale @layla_2289 @anondud3 @HillaryClinton so that's Hillary Clinton's fault? Her staff has access to state computers now?,0.0,0.0
