created_at,text,Polarity,Subjectivity
Thu Apr 21 18:13:08 +0000 2016,"@thingexplainer a dick joke on tv??? yes. y e s. jeb bush??? he happened. its, wild",0.1,0.4
Thu Apr 21 18:13:51 +0000 2016,Coming soon to Team Cruz in Indiana: Jeb Bush and/or Mitt Romney? - Hot Air https://t.co/muTeqoKpzi,0.25,0.8500000000000001
Thu Apr 21 18:47:30 +0000 2016,"2170) Jeb Bush says he gave U.S. Senator Ted Cruz a new catchy ""Read My Lips"" makeover,
to attract female voters  https://t.co/YH1gma5l9M",0.06818181818181818,0.3106060606060606
Thu Apr 21 18:48:47 +0000 2016,"RT @GoodbyeKoch: #Koch Brothers, Rick Scott And Jeb Bush Exposed In Florida Pipeline Scandal  https://t.co/12IQZAPfYY",-0.193006,0.0
Thu Apr 21 18:49:05 +0000 2016,"RT @GoodbyeKoch: #Koch Brothers, Rick Scott And Jeb Bush Exposed In Florida Pipeline Scandal  https://t.co/12IQZAPfYY",-0.193006,0.0
Thu Apr 21 18:51:21 +0000 2016,"@CarmineZozzora @jko417 @th_christine @tedcruz @FoxNews WHAT, JEB BUSH, HE COULDN'T LEAD PARADE!",-0.3125,0.23333333333333334
Thu Apr 21 18:51:43 +0000 2016,"RT @chazzz54: UPDATE: Legal Action Against Koch Brothers, Rick Scott &amp; Jeb Bush Goes To U.S. Supreme Court https://t.co/ojD8cCMlVK",0.15000000000000002,0.15000000000000002
Thu Apr 21 18:51:56 +0000 2016,"RT @JeanetteJing: ""President"" George W Bush was installed with #ElectionFraud by Jeb Bush's administration. https://t.co/qTXUYfOSKE",0.484454,0.0
Thu Apr 21 18:54:26 +0000 2016,@joshnewmantweet Jeb bush. No doubt,0.0,0.0
Thu Apr 21 18:55:54 +0000 2016,"RT @GoodbyeKoch: #Koch Brothers, Rick Scott And Jeb Bush Exposed In Florida Pipeline Scandal  https://t.co/12IQZAPfYY",-0.193006,0.0
Thu Apr 21 18:57:53 +0000 2016,"RT @crampell: so some people rewrote the entire ""Hamilton"" libretto as a parody about Jeb Bush https://t.co/14RIroirG8 CC @petridishes",-0.0768074,0.625
Thu Apr 21 19:03:27 +0000 2016,"RT @GoodbyeKoch: #Koch Brothers, Rick Scott And Jeb Bush Exposed In Florida Pipeline Scandal  https://t.co/12IQZAPfYY",-0.193006,0.0
Thu Apr 21 19:05:09 +0000 2016,"RT @crampell: so some people rewrote the entire ""Hamilton"" libretto as a parody about Jeb Bush https://t.co/14RIroirG8 CC @petridishes",-0.0768074,0.625
Thu Apr 21 19:05:22 +0000 2016,MT @gerfingerpoken: Jeb Bush vs. the 2nd Amendment - Sees no national right to bear arms. https://t.co/ybjWvMGJPx #WakeUpAmerica #PJNET,0.14285714285714285,0.26785714285714285
Thu Apr 21 19:06:02 +0000 2016,"RT @crampell: so some people rewrote the entire ""Hamilton"" libretto as a parody about Jeb Bush https://t.co/14RIroirG8 CC @petridishes",-0.0768074,0.625
Thu Apr 21 19:07:26 +0000 2016,"RT @chazzz54: UPDATE: Legal Action Against Koch Brothers, Rick Scott &amp; Jeb Bush Goes To U.S. Supreme Court https://t.co/ojD8cCMlVK",0.15000000000000002,0.15000000000000002
Thu Apr 21 19:05:43 +0000 2016,@dedge1325 @tedcruz Why would Trump debate someone who has already lost? Should he debate Jeb Bush too? https://t.co/YlnfOxN23Y,0.484454,0.0
Thu Apr 21 19:12:48 +0000 2016,"RT @MotherJones: Jeb Bush's campaign, once flush with cash, is now $260,000 in debt https://t.co/VDmf3R0en6 https://t.co/ozCEuPhZsV",-0.485096,0.0
Thu Apr 21 19:12:53 +0000 2016,"@politico @JohnKasich @vine Jeb bush's ""please clap"" version 2.0",0.0,0.0
Thu Apr 21 19:13:37 +0000 2016,RT @Politicon: Anybody got a Tubman we can lend to @JebBush? https://t.co/skZgSmUDuY via @motherjones,-0.485096,0.0
Thu Apr 21 19:13:52 +0000 2016,"@politico @JohnKasich  Kasich having a ""Jeb Bush"" morning, having to ask for applauses?",0.0,0.0
Thu Apr 21 19:15:07 +0000 2016,"@symplsymin @BestBotoxNurse @LuvRedWhiteBlue @FoxNews 
Senator Cruz brought Neil/Jeb Bush, ""Jeb!"" staffers AND McConnell's Atty.
GOPe?
Fair?",0.7,0.9
Thu Apr 21 19:23:28 +0000 2016,"Jeb Bush's Campaign, Once Flush With Cash, Is Now $260,000 in Debt https://t.co/Pj8GJhsuFq #NotMeUs https://t.co/iqDQih9TZ1",-0.485096,0.0
Thu Apr 21 19:25:02 +0000 2016,"@HahnJaime @Nero @continetti 
Jeb Bush disagrees. 
As do Cruz's super PACs. 
As does Goldman Sachs.",0.3333333333333333,0.6666666666666666
Thu Apr 21 19:26:06 +0000 2016,RT @DavidCornDC: This is really embarrassing for Jeb Bush  https://t.co/OljbYbEqBX https://t.co/3QKFdJWmlE,0.2,0.2
Thu Apr 21 19:26:33 +0000 2016,"RT @chazzz54: UPDATE: Legal Action Against Koch Brothers, Rick Scott &amp; Jeb Bush Goes To U.S. Supreme Court https://t.co/ojD8cCMlVK",0.15000000000000002,0.15000000000000002
Thu Apr 21 19:29:40 +0000 2016,RT @LOLGOP: How can you say that? Trump has even defeated the great Jeb Bush! https://t.co/5kzhh7Tmlf,1.0,0.75
Thu Apr 21 19:32:12 +0000 2016,Jeb Bush Height https://t.co/8X0YDB76SQ #JebBush,0,0.0
Thu Apr 21 19:34:19 +0000 2016,@nytgraphics @nytpolitics how much did Jeb Bush spend. And he didn't get anything for it,0.2,0.2
Thu Apr 21 19:34:43 +0000 2016,@ryan_is_gregory jeb. bush.......is a missed take,0.0,0.0
Thu Apr 21 19:34:49 +0000 2016,RT @AaronHlavaty: @ryan_is_gregory jeb. bush.......is a missed take,0.0,0.0
Thu Apr 21 19:43:23 +0000 2016,There are more people on this wait list to get to BOS than people who voted for Jeb Bush,0.5,0.5
Thu Apr 21 19:43:32 +0000 2016,@prema46 @KyleKulinski @YouTube Not true.https://t.co/o2wmzgQbs9,-0.156263,0.0
Thu Apr 21 19:45:38 +0000 2016,@Norsebattleaxe @mitchellvii @tedcruz Time 4 TED! Rafael 2 drop out&amp; STOP burning money like buddy JEB! $130M waste #Bush #TedCruz #superpac,-0.2,0.0
